PREFIXO: ;3D-015
NOME DO POSTO: ;GUARIPOCABA
MUNICÍPIO: ;BRAGANCA PAULISTA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.353,00
LATITUDE: ;22°54'24"
LONGITUDE: ;46°28'37"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  08/1977;13,169;13,169;12,248;13,545;12,983;12,613;12,983;12,798;12,430;12,430;12,248;12,430;12,066;11,886;11,706;12,066;12,066;11,706;11,350;11,528;11,528;11,173;11,350;10,998;11,173;10,998;11,173;11,350;10,650;10,998;13,169;10,650;11,999;13,545
  09/1977;14,500;13,734;12,798;13,169;12,248;12,066;15,281;22,940;22,260;18,127;15,676;14,115;13,924;12,248;11,350;11,173;10,823;11,173;11,173;11,173;12,066;14,500;23,628;17,502;19,399;16,277;14,500;12,613;12,066;11,528;---;10,823;14,468;23,628
  10/1977;11,528;22,035;28,887;24,790;17,090;16,277;16,076;14,500;12,613;12,613;11,350;11,350;10,306;11,528;14,307;12,066;11,350;11,173;15,676;12,798;13,169;11,173;10,823;10,477;9,966;9,797;10,477;10,306;11,886;12,983;12,798;9,797;13,618;28,887
  11/1977;10,998;11,886;12,613;11,706;11,173;12,983;11,706;11,528;11,173;10,650;9,797;11,350;13,545;12,983;18,759;28,640;31,657;22,260;18,971;19,614;18,337;17,918;18,337;19,614;19,399;30,387;24,323;19,830;19,614;36,381;---;9,797;17,604;36,381
  12/1977;50,089;48,291;43,325;53,139;58,469;48,589;35,577;32,945;30,892;28,887;41,056;46,516;39,938;36,381;29,884;26,690;23,398;22,486;24,790;27,173;29,634;32,945;40,775;40,495;34,516;29,634;28,148;26,690;23,398;22,260;21,365;21,365;34,786;58,469
  01/1978;21,143;25,734;24,556;24,323;23,859;22,260;25,260;26,690;26,210;28,887;27,659;35,045;38,281;32,170;28,887;33,727;31,146;29,135;25,260;23,398;22,035;29,884;41,056;44,765;31,146;26,931;32,945;26,210;23,859;22,713;21,143;21,143;28,268;44,765
  02/1978;20,922;19,399;18,971;18,337;19,185;18,547;19,614;18,971;18,547;17,296;17,502;19,614;20,264;26,690;20,483;20,922;21,811;30,135;26,210;24,323;26,450;33,989;43,899;35,311;41,902;33,727;27,415;23,169;---;---;---;17,296;24,414;43,899
  03/1978;21,811;19,399;18,971;23,169;31,657;38,831;40,775;52,523;55,311;52,523;40,775;34,252;30,135;27,659;25,971;23,859;22,713;21,587;20,922;20,047;19,614;18,547;18,547;18,547;18,337;19,399;19,185;18,759;20,047;20,047;19,830;18,337;26,895;55,311
  04/1978;19,614;18,759;17,709;18,759;17,918;16,682;16,277;15,876;15,478;16,076;16,277;15,676;15,876;15,084;14,888;14,694;14,694;14,500;15,084;14,500;14,694;15,676;18,337;16,277;14,500;14,694;14,307;14,115;13,734;13,169;---;13,169;15,797;19,614
  05/1978;12,983;13,357;13,734;13,734;12,613;12,613;12,430;12,430;11,706;12,430;12,248;10,998;11,706;11,528;11,706;11,350;15,084;15,876;18,127;18,127;18,127;20,047;18,971;16,076;14,694;14,694;12,798;12,613;12,983;12,430;12,430;10,998;13,892;20,047
