,0
2021-03-21,9.595954
2021-03-22,8.7794895
2021-03-23,8.075644
2021-03-24,7.561922
2021-03-25,7.6510234
2021-03-26,7.3968506
2021-03-27,7.177263
2021-03-28,7.4332905
2021-03-29,8.121311
2021-03-30,8.553721
2021-03-31,9.269884
2021-04-01,9.456682
2021-04-02,9.139268
2021-04-03,8.679722
2021-04-04,8.283107
2021-04-05,7.9113045
2021-04-06,7.967406
2021-04-07,8.121327
2021-04-08,8.064948
2021-04-09,7.881269
2021-04-10,7.5882006
2021-04-11,7.2778087
2021-04-12,6.978867
2021-04-13,6.8821654
2021-04-14,6.9834404
2021-04-15,7.1583743
2021-04-16,7.2951283
2021-04-17,7.3560724
2021-04-18,7.8001266
2021-04-19,8.561892
2021-04-20,8.909454
2021-04-21,8.884864
2021-04-22,8.6409235
2021-04-23,8.296811
2021-04-24,7.814879
2021-04-25,7.2896423
2021-04-26,6.8176756
2021-04-27,6.5307164
2021-04-28,6.378918
2021-04-29,6.3375635
2021-04-30,6.296995
2021-05-01,6.214449
2021-05-02,6.056986
2021-05-03,5.881215
2021-05-04,5.674514
2021-05-05,5.408149
2021-05-06,5.0668755
2021-05-07,4.8608522
2021-05-08,4.7170196
2021-05-09,4.571578
2021-05-10,4.4072657
2021-05-11,4.241103
2021-05-12,4.332715
2021-05-13,4.5871935
2021-05-14,4.6736593
2021-05-15,4.6866713
2021-05-16,4.6185646
2021-05-17,4.498331
2021-05-18,4.3980403
2021-05-19,4.293642
2021-05-20,4.2012405
2021-05-21,4.0676503
2021-05-22,4.9937434
2021-05-23,5.3547544
2021-05-24,5.341007
2021-05-25,5.2320786
2021-05-26,5.0215626
2021-05-27,4.681472
2021-05-28,4.2684174
2021-05-29,3.8006787
2021-05-30,3.5829916
2021-05-31,3.4894094
2021-06-01,3.4630404
2021-06-02,3.4422088
2021-06-03,3.3881745
2021-06-04,3.280899
2021-06-05,3.172299
2021-06-06,3.1036034
2021-06-07,3.1785765
2021-06-08,3.3296647
2021-06-09,3.413979
2021-06-10,4.6842117
2021-06-11,5.3403473
2021-06-12,5.450778
2021-06-13,5.353327
2021-06-14,5.118482
2021-06-15,4.8361053
2021-06-16,4.621671
2021-06-17,4.478501
2021-06-18,4.392531
2021-06-19,4.3096466
2021-06-20,4.245602
2021-06-21,4.3107896
2021-06-22,4.5938845
2021-06-23,4.9267764
2021-06-24,4.8207464
2021-06-25,4.5896187
2021-06-26,4.3140984
2021-06-27,4.0312366
2021-06-28,3.8811064
2021-06-29,3.9130135
2021-06-30,4.0397687
2021-07-01,4.1071177
2021-07-02,4.0994053
2021-07-03,4.0998
2021-07-04,4.1234365
2021-07-05,4.158168
2021-07-06,4.2347293
2021-07-07,4.3156896
2021-07-08,4.3549075
2021-07-09,4.415168
2021-07-10,4.436021
2021-07-11,4.4440475
2021-07-12,4.4388394
2021-07-13,4.4199963
2021-07-14,4.39904
2021-07-15,4.315872
2021-07-16,4.2965164
2021-07-17,4.285074
2021-07-18,4.2808228
2021-07-19,4.437629
2021-07-20,4.5425997
2021-07-21,4.5393486
2021-07-22,4.5321493
2021-07-23,4.4614773
